index,original_text,text,category,quarter,ground_truth
0,Wow #antivax and antimed propaganda and misinformation disguised as a top 8 most dangerous meds.... #woo #VaccinesWork,wow antivax and antimed propaganda and misinformation disguised as a top 8 most dangerous meds,vaccine,Q1_2020,0
7,#TaiwanCanHelp in the fight of #CCPVirus @WHO keeps dodging Virus keeps spreading,in the fight of ccpvirus keeps dodging virus keeps spreading,asian,Q1_2020,0
17,I miss the knees I had when pop lock and drop it first came out. #oldaf,i miss the knees i had when pop lock and drop it first came out,ageism,Q1_2020,0
26,"FIRB protection aimed squarely at Chinese shadow banking and investors, so why do we suddenly change our tune? When it didn't matter for the past 6 years? #covidiots excuse",firb protection aimed squarely at chinese shadow banking and investors so why do we suddenly change our tune when it didnt matter for the past 6 years covidiots excuse,ageism,Q1_2020,0
27,"Imagine calling the bartender a faggot and motherfucker for cutting you off, only to come back two days later not remembering. #okboomer #jim",imagine calling the bartender a faggot and motherfucker for cutting you off only to come back two days later not remembering,ageism,Q1_2020,1
31,Just when you think it couldn t possibly get any worse it does! #maga #TrumpLiesAmericansDie #COVID 19 #death #trump #apocalypse #okboomer #BoomerRemover,just when you think it couldn t possibly get any worse it does 19,ageism,Q1_2020,0
39,Its a CHINESE VIRUS BC #ChineseVirus19 #ChineseVirus #ChinaVirus #ChinaLiedPeopleDied #BoycottChina,its a chinese virus bc,asian,Q1_2020,0
52,"The CCP is a threat to security around the globe. Today HK, Tomorrow the World. #BoycottBeijing2022 #BoycottChina #humanitarian situation in this #policestate is dire #SOSHK",the ccp is a threat to security around the globe today hk tomorrow the world situation in this policestate is dire,asian,Q1_2020,0
57,"#Bitcoin #ETF rejected one more time by the SEC. I just saw on @CNBC one of most stupid and ignorant comments about the topic ""I'm not a drug dealer, I don't need BTC to move money"" #okboomer",bitcoin etf rejected one more time by the sec i just saw on one of most stupid and ignorant comments about the topic im not a drug dealer i dont need btc to move money,ageism,Q1_2020,0
58,Just saw post from a right wing supporter in hub facebook. They keep blaming china and asia for virus said we immigrant bring it. And blaming socialism for all the food and toilet paper gone... i be like are they insane. Anyway this person who post this is antivax...,just saw post from a right wing supporter in hub facebook they keep blaming china and asia for virus said we immigrant bring it and blaming socialism for all the food and toilet paper gone i be like are they insane anyway this person who post this is antivax,vaccine,Q1_2020,0
61,chinese are killers... drove a gernan minister to suicide they must pay fo this. #ChineseVirus #chineseliedpeopedie,chinese are killers drove a gernan minister to suicide they must pay fo this,asian,Q1_2020,1
68,Chuck Todd assuming millennials don t idolize Senators because we re too young or too lazy is tone deaf. Maybe it has to do with the corruption that handed us the largest financial crisis we ve ever seen? Aka institutional failures @chucktodd is a joke. #okboomer,chuck todd assuming millennials don t idolize senators because we re too young or too lazy is tone deaf maybe it has to do with the corruption that handed us the largest financial crisis we ve ever seen aka institutional failures is a joke,ageism,Q1_2020,0
72,Know what s worse than a Becky? A Becky-Boomer. Still can t shake my shit day. #okboomer #beckydonthavethegoodhairthough,know what s worse than a becky a beckyboomer still can t shake my shit day,ageism,Q1_2020,1
75,Looking through r/insanepeoplefacebook for additional antivax memes is reminding me of why I never post videos of that sub anymore. It's so fucking depressing.,looking through rinsanepeoplefacebook for additional antivax memes is reminding me of why i never post videos of that sub anymore its so fucking depressing,vaccine,Q1_2020,0
81,"Kids are texting their dads, ok boomer. It's like little bro don't leave your mom out of this. She's a cunt in her own right. #okboomer #DemocraticDebate #WomanForBernie #WomenForTrump",kids are texting their dads ok boomer its like little bro dont leave your mom out of this shes a cunt in her own right,ageism,Q1_2020,1
88,"#China's #Coronavirus response in #OccupiedTibet: arrests, crackdown, religious repression",s coronavirus response in occupiedtibet arrests crackdown religious repression,asian,Q1_2020,0
89,Only the Worst Generation would brag about child abuse. #boomerremover,only the worst generation would brag about child abuse,ageism,Q1_2020,0
102,India under #lockdown for 3 weeks. The world's biggest lock down amid another virus scare from China. How worrying is the #hantavirus? + 2 lawsuits against China. We speak to the legal strategist of one of them from Florida. Can the world #MakeChinaPay? #gravitas @WIONews #9pm,india under lockdown for 3 weeks the worlds biggest lock down amid another virus scare from china how worrying is the hantavirus  2 lawsuits against china we speak to the legal strategist of one of them from florida can the world makechinapay,asian,Q1_2020,0
104,"Oh, look! Another fake video posted by a demented antivaccine troll! Convincing!",oh look another fake video posted by a demented antivaccine troll convincing,vaccine,Q1_2020,1
107,This is why no one should apologize for #okboomer,this is why no one should apologize for,ageism,Q1_2020,0
111,Deport them Canada allows flights from China they may have #ChinaVirus after all.,deport them canada allows flights from china they may have chinavirus after all,asian,Q1_2020,1
112,I am so sick of fighting with boomers #pleaseretire #okboomer,i am so sick of fighting with boomers,ageism,Q1_2020,0
128,#MakeChinaPay for the #CoronaVirus spread,for the coronavirus spread,asian,Q1_2020,0
140,"[#SILMOParis discovering #Turkish Know-How] During the last @silmoistanbul, we met two Turkish companies that highlight their know-how in the service of the #optical innovation. Second meeting with Novax &amp; Beta Optik.",silmoparis discovering turkish knowhow during the last  we met two turkish companies that highlight their knowhow in the service of the optical innovation second meeting with novax  beta optik,vaccine,Q1_2020,0
146,"Not from the #CCP, nor from china, it s an account from a non-chinese! After reading this, you hv every reason to believe why #China has done a tremendous job in containing the virus. #coronavirus #US #CCP_is_terrorist #ChinaLiesPeopleDie",not from the ccp nor from china it s an account from a nonchinese after reading this you hv every reason to believe why china has done a tremendous job in containing the virus,asian,Q1_2020,0
151,Selfish Baby Boomers strike again #BookReview #boomerdoomer,selfish baby boomers strike again,ageism,Q1_2020,1
